mass,intensity,prominence,left_base_idx,right_base_idx,snr
16100.0,0.335716,0.335716,0,6952,98.66550754180594
9520.0,0.304099,0.303742,0,1097,89.37340543184014
10270.0,0.251259,0.250682,506,1097,73.84395369731148
31490.0,0.190654,0.189709,1162,6952,56.03240141928138
22690.0,0.138969,0.137291,1162,2085,40.842399282659244
19800.0,0.130229,0.128671,1162,1583,38.27375037728868
32200.0,0.129979,0.12821000000000002,2692,6952,38.20027643834788
50710.0,0.126534,0.12597,4182,6952,37.18780555974357
24680.0,0.124001,0.122149,1773,2085,36.44336761039533
17110.0,0.121186,0.120171,1162,1225,35.61605105792186
19600.0,0.119888,0.111524,1225,1473,35.234574366941196
16220.0,0.119177,0.10377800000000001,1117,1162,35.02561448459355
19700.0,0.115604,0.105131,1463,1473,33.97552494925155
25650.0,0.109728,0.107293,1972,2085,32.24859348838686
16500.0,0.109151,0.106336,1139,1162,32.07901563731148
31100.0,0.098088,0.09486199999999999,2085,2620,28.827646891302948
9250.0,0.092563,0.091258,0,449,27.203872840711146
28940.0,0.09244,0.08934199999999999,2085,2479,27.167723662752266
25930.0,0.089311,0.087502,2085,2326,26.248123842969147
18560.0,0.089309,0.087496,1225,1444,26.24753605145762
30960.0,0.086914,0.07636000000000001,2479,2603,25.543655716404704
23860.0,0.07794,0.07581099999999999,1773,1931,22.906235204185545
39210.0,0.073063,0.071599,3400,4182,21.47290560332831
35680.0,0.073061,0.071155,2864,3400,21.472317811816783
31590.0,0.072037,0.062268000000000004,2658,2692,21.171368557915244
19970.0,0.071926,0.068652,1484,1583,21.138746129025527
11460.0,0.070761,0.07020900000000001,563,1097,20.796357573561373
11610.0,0.069184,0.06819199999999999,659,1097,20.33288396672277
21110.0,0.068276,0.066168,1583,1698,20.066026620489765
21650.0,0.06811,0.065775,1630,1698,20.01723992503307
20420.0,0.067208,0.06542400000000001,1511,1583,19.752145953334644
23760.0,0.066445,0.055266,1773,1879,19.527903491687308
17280.0,0.066318,0.064903,1225,1290,19.490578730705376
31350.0,0.065572,0.055982000000000004,2620,2639,19.271332496906012
33840.0,0.06539,0.06336,2864,2950,19.217843469357106
43640.0,0.065166,0.063718,3689,4182,19.152010820066145
34920.0,0.064747,0.06229,2950,3022,19.028868498401355
16770.0,0.061522,0.058992,1162,1185,18.081054686064963
76740.0,0.058032,0.058032,6952,7215,17.055358498451316
41490.0,0.057773,0.055980999999999996,3604,3689,16.97923949770864
25050.0,0.056709,0.052771000000000005,1998,2046,16.666534413576574
35890.0,0.056171,0.051345,3076,3400,16.50841849697596
33080.0,0.05427,0.051304,2776,2864,15.949722665270073
29980.0,0.052589,0.049469,2479,2516,15.455683899832096
14990.0,0.051889,0.051099,675,1097,15.249956870797842
26880.0,0.051598,0.048663,2157,2326,15.164433205870743
24410.0,0.05089,0.047492,1931,1947,14.956355010790382
18670.0,0.050539,0.044167,1360,1444,14.853197600517491
9660.0,0.050496,0.046146,461,506,14.840560083019673
38070.0,0.049394,0.047707,3296,3400,14.516686960168602
22920.0,0.049251,0.047343,1773,1819,14.474659867094463
44960.0,0.048977,0.047797,3889,4182,14.394132430015338
27720.0,0.047726,0.045597,2229,2326,14.026468839555546
20740.0,0.047125,0.043548,1569,1583,13.849837490341852
30760.0,0.046762,0.042950999999999996,2516,2589,13.743153330999801
22820.0,0.044587,0.041704000000000005,1773,1788,13.103930062214793
63520.0,0.043324,0.042983,5605,6952,12.732739722685842
67680.0,0.042683,0.04245,6011,6952,12.544352543241617
47660.0,0.042576,0.041528,4182,4298,12.512905697374954
17620.0,0.042129,0.039637,1237,1290,12.381534294548793
24160.0,0.041997,0.039771,1899,1931,12.342740054788047
26450.0,0.041988,0.038572999999999996,2130,2157,12.340094992986177
17810.0,0.040605,0.038097000000000006,1266,1290,11.933637162765642
28080.0,0.040242,0.035453,2298,2326,11.826953003423592
15400.0,0.040083,0.03885,1017,1097,11.780223578257239
33420.0,0.039561,0.035775,2832,2864,11.626809993748838
35420.0,0.039516,0.035874,3022,3050,11.613584684739493
8670.0,0.038475,0.038072,0,412,11.307639202989979
15640.0,0.038187,0.033784,1052,1097,11.22299722533017
38940.0,0.037627,0.035902,3377,3400,11.058415602102766
61300.0,0.037533,0.037159,5605,5743,11.030789401061021
15200.0,0.036848,0.035318,1017,1023,10.829470808363215
11900.0,0.036766,0.035902,675,916,10.805371356390632
9350.0,0.036661,0.030501999999999998,432,449,10.774512302035493
23040.0,0.036328,0.032208,1801,1819,10.67664501536634
34220.0,0.035451,0.032987,2893,2950,10.418898437561994
20630.0,0.034367,0.030691000000000003,1548,1569,10.100315438314661
19070.0,0.03399,0.032097,1384,1444,9.989516738391925
17520.0,0.033749,0.029629000000000003,1237,1260,9.91868786125299
75180.0,0.033612,0.03361,6952,7046,9.87842414271343
13830.0,0.033486,0.032604,843,916,9.841393277487262
22430.0,0.033279,0.030822000000000002,1698,1767,9.780556856044276
33660.0,0.033079,0.027035999999999998,2864,2869,9.721777704891629
37020.0,0.032767,0.030347999999999997,3118,3296,9.630082229093505
65970.0,0.031939,0.031601000000000004,6011,6214,9.386736543321557
20190.0,0.031284,0.028441,1511,1532,9.194234823296647
34000.0,0.031149,0.027502,2893,2909,9.154558896268611
43210.0,0.031074,0.029207,3689,3841,9.13251671458637
17380.0,0.030694,0.023835,1237,1240,9.020836327396346
26780.0,0.030188,0.026683,2157,2186,8.872125074980154
62250.0,0.030133,0.029468,5678,5743,8.855960808413178
19350.0,0.029372,0.027514999999999998,1433,1444,8.632306138277364
18110.0,0.02922,0.027677,1290,1320,8.587633983401355
14800.0,0.028675,0.027795999999999998,916,991,8.427460796510399
34570.0,0.028543,0.025120999999999997,2950,2981,8.388666556749653
58700.0,0.028434,0.027866000000000002,5309,5605,8.356631919371463
30300.0,0.028428,0.025044999999999998,2516,2556,8.354868544836883
19180.0,0.028222,0.023483,1410,1433,8.29432601914966
42270.0,0.028062,0.026598,3689,3748,8.247302698227545
21770.0,0.028029,0.02156,1670,1698,8.237604138287358
61940.0,0.028,0.026473,5678,5699,8.229081161370225
48330.0,0.027697,0.026513,4298,4484,8.140030747373968
14690.0,0.027559,0.024262,916,979,8.099473133078643
28330.0,0.027535,0.025143,2326,2341,8.092419634940326
15890.0,0.027168,0.026086,1082,1097,7.9845598925752235
22300.0,0.027165,0.020800000000000003,1698,1736,7.9836782053079345
46110.0,0.026919,0.026123999999999998,4075,4182,7.911379849390181
23560.0,0.026078,0.021606,1819,1859,7.664213518793312
36900.0,0.026076,0.022025999999999997,3118,3194,7.663625727281784
38570.0,0.026058,0.022138,3328,3377,7.658335603678047
36300.0,0.026009,0.023578,3118,3144,7.643934711645649
21250.0,0.025925,0.022897,1623,1630,7.619247468161538
40550.0,0.02592,0.024093,3463,3604,7.617777989382722
53300.0,0.025304,0.024583,4663,5309,7.436738203832577
10810.0,0.024732,0.02401,563,631,7.268629831536014
26260.0,0.024652,0.02112,2105,2130,7.245118171074956
40840.0,0.024552,0.022172,3558,3604,7.215728595498634
45370.0,0.02446,0.022875,4027,4075,7.188690185968417
64270.0,0.024324,0.023877,5885,6011,7.148720363184618
25510.0,0.024171,0.020438,2046,2055,7.103754312552846
16870.0,0.024049,0.021456000000000003,1185,1197,7.067899030349733
50300.0,0.023634,0.022407,4484,4568,6.9459322917079955
27420.0,0.023374,0.020499,2229,2260,6.869519395209558
42530.0,0.02331,0.021664000000000003,3748,3777,6.850710066840712
64530.0,0.022881,0.022396,5931,6011,6.724628787618289
72530.0,0.022856,0.022832,6614,6952,6.7172813937242095
40270.0,0.022716,0.020559,3463,3552,6.676135987917358
43940.0,0.022358,0.020444999999999998,3889,3985,6.570921307354124
48980.0,0.021797,0.020538,4386,4484,6.406045788370957
72040.0,0.021696,0.021628,6614,6745,6.376362317038871
